matrix,row,col,value
A,0,0,-384.252031
A,0,1,0.0
A,0,2,0.0
A,0,3,0.0
A,0,4,0.0
A,0,5,330.940166
A,0,6,0.0
A,0,7,0.0
A,0,8,0.0
A,0,9,0.0
A,1,0,0.0
A,1,1,-381.967517
A,1,2,0.0
A,1,3,0.0
A,1,4,0.0
A,1,5,0.0
A,1,6,328.663008
A,1,7,0.0
A,1,8,0.0
A,1,9,0.0
A,2,0,0.0
A,2,1,0.0
A,2,2,-379.718538
A,2,3,0.0
A,2,4,0.0
A,2,5,0.0
A,2,6,0.0
A,2,7,326.421018
A,2,8,0.0
A,2,9,0.0
A,3,0,0.0
A,3,1,0.0
A,3,2,0.0
A,3,3,-377.504941
A,3,4,0.0
A,3,5,0.0
A,3,6,0.0
A,3,7,0.0
A,3,8,324.214049
A,3,9,0.0
A,4,0,0.0
A,4,1,0.0
A,4,2,0.0
A,4,3,0.0
A,4,4,-375.326552
A,4,5,0.0
A,4,6,0.0
A,4,7,0.0
A,4,8,0.0
A,4,9,322.041931
A,5,0,0.22637053737050883
A,5,1,0.0
A,5,2,0.0
A,5,3,0.0
A,5,4,0.0
A,5,5,-2.502628138254975
A,5,6,0.0
A,5,7,0.0
A,5,8,0.0
A,5,9,0.0
A,6,0,0.0
A,6,1,0.22637053737050883
A,6,2,0.0
A,6,3,0.0
A,6,4,0.0
A,6,5,2.2762576008844664
A,6,6,-2.502628138254975
A,6,7,0.0
A,6,8,0.0
A,6,9,0.0
A,7,0,0.0
A,7,1,0.0
A,7,2,0.22637053737050883
A,7,3,0.0
A,7,4,0.0
A,7,5,0.0
A,7,6,2.2762576008844664
A,7,7,-2.502628138254975
A,7,8,0.0
A,7,9,0.0
A,8,0,0.0
A,8,1,0.0
A,8,2,0.0
A,8,3,0.22637053737050883
A,8,4,0.0
A,8,5,0.0
A,8,6,0.0
A,8,7,2.2762576008844664
A,8,8,-2.502628138254975
A,8,9,0.0
A,9,0,0.0
A,9,1,0.0
A,9,2,0.0
A,9,3,0.0
A,9,4,0.22637053737050883
A,9,5,0.0
A,9,6,0.0
A,9,7,0.0
A,9,8,2.2762576008844664
A,9,9,-2.502628138254975
B,0,0,75.163477
B,0,1,0.0
B,1,0,74.620147
B,1,1,0.0
B,2,0,74.085541
B,2,1,0.0
B,3,0,73.559607
B,3,1,0.0
B,4,0,73.042286
B,4,1,0.0
B,5,0,0.0
B,5,1,2.2762576008844664
B,6,0,0.0
B,6,1,0.0
B,7,0,0.0
B,7,1,0.0
B,8,0,0.0
B,8,1,0.0
B,9,0,0.0
B,9,1,0.0
offset,0,,-6657.889208
offset,1,,-6503.285878
offset,2,,-6351.007508
offset,3,,-6201.043639
offset,4,,-6053.382346
offset,5,,0.0
offset,6,,0.0
offset,7,,0.0
offset,8,,0.0
offset,9,,0.0
